Vertex 		Distance from Source
1	36.29.138.97	495
2	36.32.137.69	282
3	36.50.52.170	326
4	36.50.133.180	317
5	36.54.83.103	325
6	36.54.135.7	356
7	36.61.249.191	391
8	36.66.160.248	342
9	36.68.78.186	306
10	36.70.228.110	323
11	36.73.1.35	390
12	36.75.245.114	345
13	36.79.202.232	305
14	36.83.59.164	238
15	1.97.91.30	329
16	1.102.139.17	271
17	1.106.220.147	298
18	1.111.91.45	217
19	1.114.178.125	369
20	1.115.252.205	696
21	1.117.109.246	397
22	1.122.59.43	269
23	1.125.112.8	373
24	1.127.188.176	499
25	1.129.197.72	328
26	1.138.179.125	351
27	1.143.214.187	370
28	240.1.34.139	368
29	240.18.198.249	352
30	240.26.120.182	382
31	240.61.51.189	567
32	240.62.173.197	395
33	240.64.152.165	409
34	240.74.251.194	383
35	240.82.188.194	480
36	240.85.17.161	295
37	240.91.178.54	523
38	240.103.113.182	293
39	240.103.154.172	375
40	240.104.128.11	504
41	240.105.184.47	255
42	240.108.210.181	422
43	240.109.69.101	357
44	240.121.78.166	418
45	240.122.141.180	446
46	240.127.163.161	336
47	240.142.104.114	551
48	240.152.9.182	426
49	240.156.54.85	623
50	1.152.5.111	490
51	1.155.44.151	401
52	1.163.24.16	189
53	1.168.193.111	284
54	1.172.25.149	356
55	1.185.86.53	380
56	1.191.159.163	277
57	1.194.23.178	339
58	1.198.203.112	348
59	1.206.154.156	314
60	1.207.23.160	234
61	1.219.238.130	254
62	1.229.185.179	365
63	1.232.222.168	437
64	1.233.161.147	373
65	1.241.129.170	431
66	2.4.190.195	315
67	2.7.33.253	387
68	2.7.119.118	213
69	2.8.170.105	452
70	2.14.32.135	386
71	2.38.83.29	369
72	2.43.168.98	287
73	2.45.156.11	461
74	2.45.241.36	518
75	2.61.158.102	391
76	2.64.55.25	370
77	2.65.232.60	373
78	2.70.3.137	362
79	2.79.34.197	327
80	2.81.40.29	518
81	2.81.231.243	275
82	2.83.76.160	141
83	2.85.8.4	455
84	2.86.219.128	322
85	2.106.5.78	411
86	2.110.40.228	333
87	2.112.8.117	365
88	2.116.174.77	337
89	2.122.23.177	300
90	2.123.73.92	399
91	2.130.93.77	342
92	2.132.46.94	401
93	2.139.111.106	226
94	2.146.157.244	418
95	2.151.33.250	337
96	2.163.39.221	374
97	2.171.242.103	402
98	2.190.129.106	385
99	2.207.139.14	395
100	2.208.24.101	389
101	2.210.55.6	348
102	2.223.1.94	375
103	2.225.157.87	372
104	2.235.62.215	309
105	2.239.141.42	378
106	2.239.169.226	322
107	2.240.27.176	326
108	2.244.70.170	351
109	2.246.109.87	277
110	2.249.140.54	532
111	3.2.224.27	399
112	3.7.54.240	278
113	3.12.191.184	275
114	3.29.49.2	161
115	3.44.237.3	405
116	3.50.239.150	387
117	3.53.98.200	443
118	3.59.40.131	251
119	3.73.53.143	324
120	3.74.3.234	296
121	3.76.32.10	302
122	3.76.247.152	382
123	3.87.169.72	138
124	3.96.31.210	472
125	3.99.142.197	397
126	3.100.58.56	160
127	3.103.201.231	321
128	3.111.106.140	327
129	3.112.35.98	406
130	3.115.215.77	327
131	3.119.217.22	456
132	3.127.231.10	476
133	3.129.226.238	388
134	3.139.161.30	244
135	3.139.251.147	216
136	3.153.28.139	243
137	3.159.158.99	285
138	3.167.33.184	329
139	3.168.215.165	282
140	3.173.29.173	268
141	3.182.165.188	283
142	3.185.252.239	544
143	3.189.110.219	298
144	3.189.140.252	313
145	3.190.233.69	381
146	3.192.227.165	286
147	3.192.247.235	406
148	3.196.171.190	317
149	3.200.98.93	300
150	3.200.240.220	379
151	3.201.153.168	342
152	3.201.247.115	320
153	3.204.29.156	324
154	3.204.157.14	335
155	3.206.103.171	520
156	3.214.63.200	372
157	3.220.74.220	249
158	3.220.251.89	341
159	3.222.106.232	381
160	3.223.62.59	222
161	3.223.137.206	401
162	3.230.139.56	433
163	3.243.175.219	349
164	3.245.39.190	323
165	3.247.215.144	512
166	3.252.86.175	402
167	3.254.244.172	331
168	4.3.154.125	521
169	4.5.34.202	318
170	4.11.41.45	260
171	4.25.86.93	521
172	4.46.93.220	275
173	4.47.169.185	328
174	4.49.63.2	418
175	4.51.194.190	299
176	4.51.213.79	343
177	4.54.70.62	473
178	4.54.118.114	390
179	4.63.160.140	292
180	4.64.180.166	677
181	4.69.122.216	378
182	4.69.203.240	193
183	4.75.133.118	343
184	4.77.134.112	230
185	4.79.36.239	345
186	4.84.19.216	379
187	4.84.253.80	401
188	4.87.224.127	314
189	4.91.115.199	418
190	4.97.212.218	134
191	4.98.100.160	411
192	4.101.9.96	266
193	4.106.120.90	296
194	4.106.121.59	226
195	4.107.173.56	385
196	4.108.244.179	474
197	4.112.4.154	394
198	4.113.123.72	417
199	4.120.65.101	326
200	4.123.214.218	485
201	4.124.239.6	212
202	4.131.6.26	315
203	4.136.64.229	345
204	4.139.194.195	351
205	4.145.31.252	328
206	4.153.72.230	287
207	4.153.101.96	357
208	4.162.180.170	326
209	4.164.62.179	314
210	4.165.117.107	429
211	4.173.247.3	428
212	4.181.192.32	422
213	4.182.183.84	324
214	4.193.171.49	350
215	4.194.119.253	370
216	4.195.37.41	222
217	4.195.47.225	416
218	4.197.186.179	171
219	4.200.180.109	448
220	4.207.84.30	406
221	4.210.80.44	461
222	4.213.141.25	308
223	4.237.75.46	277
224	4.237.75.237	447
225	4.237.189.41	570
226	4.241.187.223	397
227	5.1.34.92	378
228	5.6.11.81	343
229	5.18.155.162	395
230	5.18.173.43	269
231	5.19.124.235	265
232	5.19.200.33	397
233	5.20.75.187	412
234	5.30.79.115	309
235	5.31.47.39	381
236	5.31.77.27	429
237	5.33.90.194	461
238	5.37.122.5	358
239	5.38.147.105	337
240	5.48.73.153	559
241	5.51.102.206	360
242	5.51.252.130	325
243	5.52.58.223	369
244	5.55.215.207	534
245	5.65.9.127	439
246	5.68.113.204	437
247	5.74.61.204	502
248	5.78.6.27	339
249	5.93.92.183	317
250	5.95.211.74	338
251	5.103.188.166	294
252	5.115.34.54	270
253	5.115.143.189	331
254	5.127.162.172	389
255	5.129.211.127	383
256	5.131.166.17	378
257	5.133.123.184	610
258	5.137.126.116	333
259	5.137.233.146	279
260	5.139.2.146	247
261	5.145.72.53	383
262	5.147.106.202	558
263	5.147.204.51	409
264	5.149.195.151	463
265	5.153.23.217	311
266	5.164.109.143	395
267	5.167.80.61	332
268	5.171.75.196	309
269	5.190.40.206	394
270	5.191.141.31	348
271	5.197.12.161	591
272	5.198.225.40	337
273	5.210.251.57	156
274	5.212.67.187	355
275	5.219.180.90	305
276	5.227.152.91	483
277	5.231.44.161	215
278	5.240.186.222	422
279	5.241.69.183	415
280	5.243.55.44	329
281	5.245.203.112	396
282	5.254.81.152	321
283	6.1.8.59	330
284	6.3.240.97	449
285	6.7.44.202	327
286	6.10.125.216	465
287	6.21.127.96	246
288	6.22.22.56	370
289	6.23.230.87	403
290	6.42.105.254	222
291	6.50.175.139	481
292	6.51.6.133	299
293	6.81.80.221	387
294	6.93.69.18	423
295	6.98.88.238	516
296	6.100.5.13	285
297	6.101.54.181	447
298	6.102.76.125	380
299	6.105.233.29	477
300	6.112.164.148	463
301	6.113.112.197	307
302	6.119.125.105	645
303	6.121.137.150	267
304	6.124.138.104	357
